event_id,start_time,end_time,duration_hours,mean_spread,max_spread,min_spread,direction,magnitude_avg,magnitude_max,month,year,hour
137,2022-03-08 06:00:00,2022-03-08 06:00:00,1,39.819999999999936,39.819999999999936,39.819999999999936,DE > FR,39.819999999999936,39.819999999999936,3,2022,6
139,2022-03-08 09:00:00,2022-03-08 15:00:00,7,-144.33714285714285,228.69,51.40999999999997,FR > DE,144.33714285714285,228.69,3,2022,9
141,2022-03-08 20:00:00,2022-03-09 01:00:00,6,-53.79000000000001,85.42000000000002,34.99000000000001,FR > DE,53.79000000000001,85.42000000000002,3,2022,20
143,2022-03-09 09:00:00,2022-03-09 13:00:00,5,-49.406000000000006,54.599999999999966,39.99000000000001,FR > DE,49.406000000000006,54.599999999999966,3,2022,9
145,2022-03-10 08:00:00,2022-03-10 16:00:00,9,-129.5922222222222,195.91000000000005,31.519999999999985,FR > DE,129.5922222222222,195.91000000000005,3,2022,8
147,2022-03-10 19:00:00,2022-03-12 15:00:00,45,-188.83466666666666,276.94,53.650000000000006,FR > DE,188.83466666666666,276.94,3,2022,19
149,2022-03-12 19:00:00,2022-03-14 01:00:00,31,-125.40387096774194,247.08,44.25999999999999,FR > DE,125.40387096774194,247.08,3,2022,19
151,2022-03-14 06:00:00,2022-03-14 06:00:00,1,-27.279999999999973,27.279999999999973,27.279999999999973,FR > DE,27.279999999999973,27.279999999999973,3,2022,6
153,2022-03-14 09:00:00,2022-03-14 12:00:00,4,-41.59750000000001,53.23000000000002,30.81,FR > DE,41.59750000000001,53.23000000000002,3,2022,9
155,2022-03-16 12:00:00,2022-03-16 15:00:00,4,-69.875,75.04999999999998,62.80000000000001,FR > DE,69.875,75.04999999999998,3,2022,12
157,2022-03-16 19:00:00,2022-03-17 06:00:00,12,-82.90166666666666,117.19,32.80000000000001,FR > DE,82.90166666666666,117.19,3,2022,19
159,2022-03-17 08:00:00,2022-03-17 14:00:00,7,-41.41428571428571,50.95999999999998,27.539999999999992,FR > DE,41.41428571428571,50.95999999999998,3,2022,8
161,2022-03-19 00:00:00,2022-03-19 00:00:00,1,-27.39000000000001,27.39000000000001,27.39000000000001,FR > DE,27.39000000000001,27.39000000000001,3,2022,0
163,2022-03-19 02:00:00,2022-03-19 02:00:00,1,-37.97999999999999,37.97999999999999,37.97999999999999,FR > DE,37.97999999999999,37.97999999999999,3,2022,2
165,2022-03-19 08:00:00,2022-03-21 04:00:00,45,-139.57755555555556,232.58,28.22999999999999,FR > DE,139.57755555555556,232.58,3,2022,8
167,2022-03-21 09:00:00,2022-03-21 14:00:00,6,-60.07333333333333,89.22,45.18000000000001,FR > DE,60.07333333333333,89.22,3,2022,9
169,2022-03-22 12:00:00,2022-03-22 12:00:00,1,-31.170000000000016,31.170000000000016,31.170000000000016,FR > DE,31.170000000000016,31.170000000000016,3,2022,12
171,2022-03-23 09:00:00,2022-03-23 09:00:00,1,-34.559999999999974,34.559999999999974,34.559999999999974,FR > DE,34.559999999999974,34.559999999999974,3,2022,9
173,2022-03-24 08:00:00,2022-03-24 10:00:00,3,-37.21,44.88000000000002,27.529999999999973,FR > DE,37.21,44.88000000000002,3,2022,8
175,2022-03-24 13:00:00,2022-03-24 13:00:00,1,-33.360000000000014,33.360000000000014,33.360000000000014,FR > DE,33.360000000000014,33.360000000000014,3,2022,13
177,2022-03-25 08:00:00,2022-03-25 14:00:00,7,-70.10428571428571,97.14,36.93000000000001,FR > DE,70.10428571428571,97.14,3,2022,8
179,2022-03-25 21:00:00,2022-03-26 03:00:00,7,-36.66857142857142,61.16999999999999,30.17999999999998,FR > DE,36.66857142857142,61.16999999999999,3,2022,21
181,2022-03-26 06:00:00,2022-03-26 15:00:00,10,-83.814,122.5,28.72,FR > DE,83.814,122.5,3,2022,6
183,2022-03-27 12:00:00,2022-03-27 13:00:00,2,-49.245000000000005,67.91,30.580000000000013,FR > DE,49.245000000000005,67.91,3,2022,12
185,2022-03-28 08:00:00,2022-03-28 16:00:00,9,-57.854444444444454,86.91,37.870000000000005,FR > DE,57.854444444444454,86.91,3,2022,8
187,2022-03-28 21:00:00,2022-03-28 21:00:00,1,-30.389999999999983,30.389999999999983,30.389999999999983,FR > DE,30.389999999999983,30.389999999999983,3,2022,21
189,2022-03-29 12:00:00,2022-03-29 12:00:00,1,-37.589999999999975,37.589999999999975,37.589999999999975,FR > DE,37.589999999999975,37.589999999999975,3,2022,12
191,2022-03-29 22:00:00,2022-03-30 00:00:00,3,-34.50333333333335,35.72000000000003,32.06999999999999,FR > DE,34.50333333333335,35.72000000000003,3,2022,22
193,2022-03-30 09:00:00,2022-03-30 15:00:00,7,-68.63000000000001,99.36,41.700000000000045,FR > DE,68.63000000000001,99.36,3,2022,9
195,2022-03-30 20:00:00,2022-03-31 05:00:00,10,-49.354,75.01000000000002,29.329999999999984,FR > DE,49.354,75.01000000000002,3,2022,20
197,2022-03-31 08:00:00,2022-04-05 16:00:00,129,-199.47465116279074,2886.6200000000003,36.03,FR > DE,199.47465116279074,2886.6200000000003,3,2022,8
199,2022-04-05 20:00:00,2022-04-08 15:00:00,68,-151.41808823529414,258.15,28.769999999999985,FR > DE,151.41808823529414,258.15,4,2022,20
201,2022-04-08 21:00:00,2022-04-10 18:00:00,46,-170.52565217391304,246.34,30.28,FR > DE,170.52565217391304,246.34,4,2022,21
203,2022-04-10 20:00:00,2022-04-10 20:00:00,1,-30.94,30.94,30.94,FR > DE,30.94,30.94,4,2022,20
205,2022-04-11 00:00:00,2022-04-11 02:00:00,3,-38.376666666666665,51.06999999999999,30.370000000000005,FR > DE,38.376666666666665,51.06999999999999,4,2022,0
207,2022-04-12 00:00:00,2022-04-12 00:00:00,1,-27.359999999999985,27.359999999999985,27.359999999999985,FR > DE,27.359999999999985,27.359999999999985,4,2022,0
209,2022-04-12 09:00:00,2022-04-13 03:00:00,19,-79.14052631578947,144.8,33.859999999999985,FR > DE,79.14052631578947,144.8,4,2022,9
211,2022-04-13 10:00:00,2022-04-13 12:00:00,3,-37.11333333333334,42.54000000000002,29.849999999999994,FR > DE,37.11333333333334,42.54000000000002,4,2022,10
213,2022-04-15 09:00:00,2022-04-15 09:00:00,1,-38.51000000000002,38.51000000000002,38.51000000000002,FR > DE,38.51000000000002,38.51000000000002,4,2022,9
215,2022-04-15 12:00:00,2022-04-15 12:00:00,1,-28.0,28.0,28.0,FR > DE,28.0,28.0,4,2022,12
217,2022-04-16 13:00:00,2022-04-16 13:00:00,1,-37.09,37.09,37.09,FR > DE,37.09,37.09,4,2022,13
219,2022-04-17 12:00:00,2022-04-17 12:00:00,1,-29.35,29.35,29.35,FR > DE,29.35,29.35,4,2022,12
221,2022-04-22 11:00:00,2022-04-22 17:00:00,7,-78.9742857142857,101.37,32.26999999999998,FR > DE,78.9742857142857,101.37,4,2022,11
223,2022-04-22 21:00:00,2022-04-22 21:00:00,1,-28.080000000000013,28.080000000000013,28.080000000000013,FR > DE,28.080000000000013,28.080000000000013,4,2022,21
225,2022-04-23 00:00:00,2022-04-23 02:00:00,3,-55.28,59.38,49.75,FR > DE,55.28,59.38,4,2022,0
227,2022-04-23 09:00:00,2022-04-23 18:00:00,10,-147.73099999999997,214.4,31.609999999999985,FR > DE,147.73099999999997,214.4,4,2022,9
229,2022-04-23 21:00:00,2022-04-24 00:00:00,4,-51.754999999999995,64.24999999999999,35.099999999999994,FR > DE,51.754999999999995,64.24999999999999,4,2022,21
231,2022-04-24 02:00:00,2022-04-24 02:00:00,1,-44.44000000000001,44.44000000000001,44.44000000000001,FR > DE,44.44000000000001,44.44000000000001,4,2022,2
233,2022-04-24 06:00:00,2022-04-24 16:00:00,11,-72.34000000000002,106.42000000000002,29.19,FR > DE,72.34000000000002,106.42000000000002,4,2022,6
235,2022-05-08 13:00:00,2022-05-08 14:00:00,2,-31.435000000000002,32.18000000000001,30.69,FR > DE,31.435000000000002,32.18000000000001,5,2022,13
237,2022-05-10 11:00:00,2022-05-10 16:00:00,6,-80.45333333333333,106.35,36.03999999999999,FR > DE,80.45333333333333,106.35,5,2022,11
239,2022-05-11 10:00:00,2022-05-11 17:00:00,8,-96.98750000000001,168.89,31.78,FR > DE,96.98750000000001,168.89,5,2022,10
241,2022-05-12 10:00:00,2022-05-12 15:00:00,6,-80.29833333333333,99.59000000000002,60.18000000000001,FR > DE,80.29833333333333,99.59000000000002,5,2022,10
243,2022-05-13 10:00:00,2022-05-13 17:00:00,8,-100.83875,161.8,27.420000000000016,FR > DE,100.83875,161.8,5,2022,10
245,2022-05-14 02:00:00,2022-05-14 03:00:00,2,-48.80499999999999,62.579999999999984,35.03,FR > DE,48.80499999999999,62.579999999999984,5,2022,2
247,2022-05-14 11:00:00,2022-05-14 16:00:00,6,-91.33166666666666,132.22,58.51999999999998,FR > DE,91.33166666666666,132.22,5,2022,11
249,2022-05-16 14:00:00,2022-05-16 16:00:00,3,-36.93666666666667,39.66,31.69999999999999,FR > DE,36.93666666666667,39.66,5,2022,14
251,2022-05-17 14:00:00,2022-05-17 14:00:00,1,-27.31,27.31,27.31,FR > DE,27.31,27.31,5,2022,14
253,2022-05-18 10:00:00,2022-05-18 11:00:00,2,-45.349999999999994,46.41999999999999,44.28,FR > DE,45.349999999999994,46.41999999999999,5,2022,10
255,2022-05-18 14:00:00,2022-05-18 14:00:00,1,-33.69,33.69,33.69,FR > DE,33.69,33.69,5,2022,14
257,2022-05-19 11:00:00,2022-05-19 11:00:00,1,-43.84,43.84,43.84,FR > DE,43.84,43.84,5,2022,11
